MUNICIPIO,DISTRITO,SECCION,TIPO,LISTANOMINAL,PAN,PRI-PANAL,PRD,PT,PVEM,PC,PSD,VALIDOS,NULOS,TOTAL
CALKINÍ,XVII,173,C1,730,185,264,17,9,10,3,0,488,11,499
CALKINÍ,XVII,174,B,536,137,217,7,4,6,5,0,376,3,379
CALKINÍ,XVII,174,C1,537,118,198,23,6,5,6,0,356,7,363
CALKINÍ,XVII,175,B,555,175,213,5,1,6,8,0,408,9,417
CALKINÍ,XVII,175,C1,555,144,231,2,3,5,8,0,393,7,400
,,,,,,,,,,,,,,
CALKINÍ,XVII,175,C2,555,158,182,13,0,5,7,0,365,20,385
CALKINÍ,XVII,176,B,559,152,174,8,1,28,11,0,374,17,391
CALKINÍ,XVII,176,C1,560,154,180,6,5,11,7,0,363,16,379
CALKINÍ,XVII,176,C2,560,167,188,6,3,15,3,0,382,0,382
CALKINÍ,XVII,177,B,732,196,300,5,2,21,5,1,530,9,539
CALKINÍ,XVII,177,C1,733,218,259,3,2,24,8,0,514,0,514
CALKINÍ,XVII,178,B,292,127,81,12,1,4,2,0,227,9,236
CALKINÍ,XVII,179,B,551,266,181,3,1,0,6,0,457,7,464
CALKINÍ,XVII,179,C1,552,286,165,1,4,2,2,0,460,15,475
CALKINÍ,XVII,180,B,531,226,192,2,1,15,2,0,438,14,452
CALKINÍ,XVII,180,C1,531,230,203,0,2,12,2,1,450,8,458
CALKINÍ,XVII,180,C2,532,176,237,0,1,4,1,0,419,14,433
CALKINÍ,XVII,181,B,233,100,113,0,0,1,0,0,214,0,214
CALKINÍ,XVII,181,,,,,,,,,,,,
CALKINÍ,XVII,182,,,,,,,,,,,,
,,,,,,,,,,,,,,
CARMEN,X,183,B,593,124,147,1,2,4,5,1,284,4,288
CARMEN,X,183,C1,593,118,136,3,7,4,1,0,269,6,275
CARMEN,X,183,C2,594,115,157,1,9,3,1,1,287,2,289
CARMEN,X,183,C3,594,109,121,7,3,5,2,0,247,6,253
CARMEN,X,184,B,627,117,149,4,2,8,1,1,282,9,291
CARMEN,X,184,C1,628,121,153,2,4,5,1,0,286,7,293
CARMEN,X,184,C2,628,131,128,6,14,10,1,2,292,10,302
CARMEN,X,184,C3,628,99,164,5,6,5,1,2,282,11,293
CARMEN,X,184,C4,628,143,164,1,5,7,2,1,323,8,331
CARMEN,X,185,B,727,115,185,4,5,7,2,0,318,13,331
CARMEN,X,185,C1,728,125,165,1,5,4,1,1,302,11,313
CARMEN,X,185,C2,728,125,170,5,7,13,1,0,321,3,324
CARMEN,X,186,B,650,175,135,8,2,8,3,1,332,5,337
CARMEN,X,186,,,,,,,,,,,,
CARMEN,X,187,,,,,,,,,,,,
CARMEN,X,187,C1,519,114,121,5,5,7,1,0,253,7,260
CARMEN,X,187,C2,519,112,126,3,1,5,1,0,248,0,248
CARMEN,IX,188,B,567,110,174,0,2,5,2,0,293,7,300
CARMEN,IX,188,C1,567,114,179,1,4,5,0,0,303,13,316
CARMEN,IX,188,C2,567,92,180,4,1,4,1,0,282,8,290
CARMEN,X,189,B,727,169,191,2,2,19,4,1,388,8,396
CARMEN,X,189,C1,728,177,170,3,1,4,4,1,360,5,365
CARMEN,X,190,B,657,114,162,4,7,7,4,0,298,9,307
CARMEN,X,190,C1,658,102,179,1,2,13,2,1,300,9,309
CARMEN,X,191,B,591,139,153,2,0,5,0,0,299,4,303
CARMEN,X,191,C1,592,157,138,1,3,7,1,0,307,10,317
,,,,,,,,,,,,,,
CARMEN,X,191,C2,592,142,139,6,2,11,6,0,306,3,309
CARMEN,X,192,B,696,132,132,6,9,4,4,0,287,0,287
CARMEN,X,192,,,,,,,,,,,,
CARMEN,X,193,B,661,112,198,2,6,5,1,3,327,8,335
CARMEN,X,194,B,632,124,160,4,1,7,1,0,297,10,307
CARMEN,X,194,C1,633,124,170,2,2,4,4,1,307,5,312
CARMEN,X,195,B,614,131,141,2,4,7,2,1,288,6,294
CARMEN,X,195,C1,615,110,175,6,6,10,2,1,310,12,322
CARMEN,X,196,B,705,123,204,5,2,6,3,1,344,19,363
CARMEN,X,196,C1,705,132,173,4,5,8,3,0,325,9,334
CARMEN,IX,197,B,626,116,167,5,4,6,8,0,306,13,319
CARMEN,IX,197,C1,626,109,204,4,3,9,2,1,332,6,338
CARMEN,IX,198,B,388,56,58,7,2,9,1,0,133,8,141
CARMEN,IX,199,B,552,88,199,5,6,8,3,1,310,2,312
CARMEN,IX,199,,,,,,,,,,,,
CARMEN,IX,199,C2,553,89,150,2,2,6,1,0,250,10,260
CARMEN,IX,200,B,566,129,146,1,3,5,2,0,286,18,304
CARMEN,IX,200,C1,567,108,179,8,1,5,2,0,303,8,311
CARMEN,IX,201,,,,,,,,,,,,
CARMEN,IX,201,,,,,,,,,,,,
CARMEN,X,202,B,561,150,167,0,1,6,2,0,326,5,331
CARMEN,X,202,C1,562,143,164,2,2,10,2,0,323,8,331
CARMEN,X,202,C2,562,107,151,2,6,8,2,1,277,3,280
CARMEN,X,203,B,720,126,203,3,7,8,0,1,348,7,355
CARMEN,X,203,C1,720,151,182,2,6,4,1,2,348,0,348
CARMEN,X,204,B,378,85,130,2,0,6,0,1,224,8,232
,,,,,,,,,,,,,,
CARMEN,X,204,C1,379,93,110,1,7,4,0,2,217,4,221
CARMEN,X,205,B,655,136,148,5,4,8,12,0,313,11,324
CARMEN,X,205,C1,656,135,154,4,3,9,9,1,315,7,322
CARMEN,X,205,C2,656,125,152,4,6,4,8,0,299,7,306
CARMEN,X,205,C3,656,137,163,8,3,4,12,0,327,6,333
CARMEN,X,205,C4,656,123,144,5,0,5,8,1,286,6,292
CARMEN,X,205,C5,656,135,160,5,4,14,4,0,322,0,322
CARMEN,X,206,B,599,119,196,4,4,7,0,4,334,2,336
CARMEN,X,206,C1,599,136,173,6,3,5,2,0,325,5,330
CARMEN,X,206,C2,599,118,176,2,3,6,3,1,309,4,313
CARMEN,X,206,C3,599,113,180,8,3,5,2,2,313,2,315
CARMEN,X,207,B,,,,,,,,,,,
CARMEN,X,207,C1,698,131,187,1,5,7,1,1,333,7,340
CARMEN,X,208,B,735,159,205,1,13,7,2,2,389,8,397
CARMEN,X,208,C1,736,132,223,5,7,14,1,1,383,11,394
CARMEN,X,209,B,743,149,247,6,3,7,2,2,416,24,440
CARMEN,X,209,C1,744,155,214,4,4,15,3,1,396,13,409
CARMEN,IX,210,B,574,105,163,7,6,8,1,0,290,9,299
CARMEN,IX,210,C1,574,108,166,4,1,5,1,0,285,2,287
CARMEN,IX,210,C2,,,,,,,,,,,
CARMEN,IX,211,B,743,140,230,8,5,9,0,2,394,10,404
CARMEN,IX,211,C1,744,145,211,10,3,12,3,2,386,17,403
CARMEN,IX,212,B,383,71,126,5,6,8,0,0,216,6,222
CARMEN,IX,212,C1,383,71,109,5,4,5,0,1,195,4,199
CARMEN,IX,213,B,494,117,137,3,1,11,0,2,271,12,283
CARMEN,IX,213,C1,494,118,128,1,6,6,1,2,262,8,270
,,,,,,,,,,,,,,
CARMEN,VIII,214,B,626,150,218,4,1,6,2,1,382,5,387
CARMEN,VIII,214,C1,627,111,223,1,8,11,1,2,357,11,368
CARMEN,VIII,215,B,433,82,136,3,3,3,2,0,229,16,245
CARMEN,VIII,216,B,484,114,157,4,2,3,0,0,280,9,289
CARMEN,VIII,216,C1,485,125,149,1,0,4,3,0,282,7,289
CARMEN,XI,217,B,645,129,168,16,3,8,4,0,328,7,335
CARMEN,XI,217,C1,646,134,181,8,6,6,1,1,337,11,348
CARMEN,XI,218,B,688,130,154,7,8,13,2,3,317,16,333
CARMEN,XI,218,C1,689,147,186,4,3,11,0,0,351,12,363
CARMEN,XI,219,B,547,121,175,3,3,7,0,0,309,8,317
CARMEN,XI,220,B,674,147,240,4,5,9,0,0,405,13,418
CARMEN,VIII,221,B,390,95,95,4,4,1,1,0,200,7,207
CARMEN,VIII,221,C1,390,98,98,4,3,1,2,0,206,6,212
CARMEN,VIII,222,B,,,,,,,,,,,
CARMEN,VIII,223,B,421,85,146,3,4,6,2,0,246,7,253
CARMEN,VIII,223,C1,422,86,137,5,5,5,1,0,239,7,246
CARMEN,VIII,224,B,597,120,207,6,9,6,1,3,352,9,361
CARMEN,VIII,224,C1,598,131,173,6,8,6,1,2,327,9,336
CARMEN,VIII,225,B,621,116,181,7,0,7,0,0,311,12,323
CARMEN,VIII,225,C1,621,132,173,6,6,4,0,1,322,7,329
CARMEN,XI,226,B,572,116,142,1,1,1,0,0,261,8,269
CARMEN,XI,226,C1,572,137,128,6,0,6,2,0,279,7,286
CARMEN,XI,227,B,710,130,197,3,3,8,0,0,341,6,347
CARMEN,XI,227,C1,711,146,205,7,3,9,5,4,379,10,389
CARMEN,XI,228,B,,,,,,,,,,,
CARMEN,XI,228,C1,491,92,138,1,0,3,6,1,241,5,246
,,,,,,,,,,,,,,
CARMEN,XI,229,B,735,141,173,3,1,12,5,1,336,7,343
CARMEN,XI,229,C1,735,135,174,1,1,14,4,0,329,4,333
CARMEN,XI,229,C2,736,126,193,2,2,8,3,2,336,19,355
CARMEN,XI,229,C3,736,135,162,3,3,10,3,1,317,4,321
CARMEN,XI,229,C4,736,131,168,8,6,7,1,1,322,4,326
CARMEN,XI,229,C5,736,133,180,6,5,10,3,0,337,8,345
CARMEN,XI,229,C6,736,129,162,6,5,8,1,0,311,5,316
CARMEN,XI,229,C7,736,114,177,4,1,5,3,2,306,0,306
CARMEN,XI,229,C8,736,125,161,5,2,7,7,2,309,4,313
CARMEN,XI,229,C9,736,141,152,6,2,8,2,2,313,9,322
CARMEN,XI,229,C10,736,130,166,5,5,12,3,1,322,6,328
CARMEN,XI,229,C11,736,114,188,4,1,9,9,1,326,7,333
CARMEN,XI,229,C12,736,129,172,4,2,9,6,4,326,5,331
CARMEN,XI,229,C13,736,123,169,6,7,12,0,0,317,14,331
CARMEN,XI,229,C14,736,143,145,4,6,6,8,1,313,8,321
CARMEN,XI,229,C15,736,131,167,4,3,9,3,0,317,5,322
CARMEN,XI,230,B,689,115,203,7,2,7,1,0,335,4,339
CARMEN,XI,230,C1,689,127,162,6,4,6,2,2,309,8,317
CARMEN,XI,230,C2,689,140,169,4,9,5,6,0,333,4,337
CARMEN,XI,230,C3,689,140,194,0,10,6,2,0,352,8,360
CARMEN,XI,230,C4,690,130,158,3,4,4,4,0,303,11,314
CARMEN,XI,230,C5,690,148,184,3,5,9,7,0,356,0,356
CARMEN,XI,230,C6,690,134,169,4,3,7,0,0,317,2,319
CARMEN,XI,230,C7,690,124,174,5,3,10,5,1,322,7,329
CARMEN,XI,231,B,537,129,118,3,6,5,6,0,267,8,275
CARMEN,XI,231,C1,537,120,118,1,7,4,1,0,251,3,254
,,,,,,,,,,,,,,
CARMEN,XI,231,C2,537,115,127,3,1,1,1,0,248,3,251
CARMEN,XI,232,B,603,122,163,5,1,7,2,0,300,3,303
CARMEN,XI,232,C1,604,107,167,7,4,6,5,1,297,7,304
CARMEN,XI,232,C2,604,129,162,5,5,4,0,1,306,9,315
CARMEN,XI,233,B,656,127,166,6,3,9,2,3,316,6,322
CARMEN,XI,233,C1,656,115,158,8,1,2,4,0,288,12,300
CARMEN,XI,233,C2,657,120,194,1,4,8,3,0,330,0,330
CARMEN,XI,234,B,602,107,146,4,3,8,3,1,272,5,277
CARMEN,XI,234,C1,602,102,132,8,6,6,4,1,259,12,271
CARMEN,XI,234,C2,602,105,153,3,5,5,1,0,272,10,282
CARMEN,XI,235,B,619,112,134,4,2,9,1,0,262,5,267
CARMEN,XI,235,C1,619,176,147,3,5,9,1,0,341,6,347
CARMEN,VIII,236,B,676,181,125,19,0,1,2,0,328,12,340
CARMEN,VIII,236,C1,677,144,176,19,2,7,0,0,348,12,360
CARMEN,VIII,237,B,569,166,139,5,1,5,1,0,317,4,321
CARMEN,VIII,237,C1,570,158,121,7,4,6,0,1,297,4,301
CARMEN,VIII,239,B,471,125,119,6,3,9,2,2,266,5,271
CARMEN,VIII,239,C1,471,118,120,2,3,4,2,0,249,2,251
CARMEN,XI,240,B,,,,,,,,,,,
CARMEN,XI,240,C1,719,139,143,6,0,9,0,1,298,7,305
CARMEN,XI,240,S,250,22,33,0,2,0,0,0,57,1,58
CARMEN,XI,241,B,687,123,171,5,2,8,5,0,314,5,319
CARMEN,XI,241,C1,688,132,161,6,1,9,2,1,312,5,317
CARMEN,XI,241,S,250,84,126,2,2,5,1,0,220,3,223
CARMEN,XI,242,B,704,120,159,7,4,5,3,0,298,13,311
CARMEN,XI,242,C1,705,123,137,11,2,11,2,0,286,12,298
,,,,,,,,,,,,,,
CARMEN,XI,243,B,622,109,148,4,3,4,3,1,272,4,276
CARMEN,XI,243,C1,623,111,151,4,5,9,0,0,280,9,289
CARMEN,XI,243,C2,623,90,153,7,2,7,3,0,262,6,268
CARMEN,XI,244,B,691,114,150,9,4,8,1,2,288,4,292
CARMEN,XI,244,C1,691,141,136,3,4,5,1,0,290,5,295
CARMEN,XI,244,C2,,,,,,,,,,,
CARMEN,XI,244,C3,,,,,,,,,,,
CARMEN,XI,244,C4,692,133,122,3,1,4,1,0,264,3,267
CARMEN,XI,244,C5,692,114,143,5,2,5,1,0,270,8,278
CARMEN,XI,244,C6,692,131,121,5,8,6,0,0,271,4,275
CARMEN,XI,244,C7,692,131,144,3,2,5,4,3,292,9,301
CARMEN,XI,244,C8,692,120,142,4,3,6,1,0,276,7,283
CARMEN,XI,245,B,701,117,169,8,2,10,0,0,306,10,316
CARMEN,XI,245,C1,702,127,178,10,1,12,2,3,333,12,345
CARMEN,XI,246,B,,,,,,,,,,,
CARMEN,XI,246,C1,646,114,158,12,3,5,2,0,294,10,304
CARMEN,XI,247,B,589,156,133,11,3,3,2,0,308,8,316
CARMEN,XI,247,C1,,,,,,,,,,,
CARMEN,XI,248,B,641,130,137,18,4,5,2,0,296,10,306
CARMEN,XI,248,C1,641,109,124,14,5,6,4,0,262,11,273
CARMEN,XI,249,B,,,,,,,,,,,
CARMEN,XI,249,C1,684,148,127,10,3,0,8,1,297,10,307
CARMEN,XI,249,C2,685,184,147,9,7,7,2,1,357,10,367
CARMEN,XII,250,B,500,169,158,8,8,1,1,0,345,0,345
CARMEN,XII,250,C1,500,166,172,10,0,0,1,0,349,10,359
CARMEN,XII,250,C2,501,188,142,12,2,2,0,1,347,14,361
,,,,,,,,,,,,,,
CARMEN,XII,251,B,486,152,171,10,3,0,3,0,339,15,354
CARMEN,XII,251,C1,486,191,157,6,2,0,0,0,356,13,369
CARMEN,XII,252,B,482,141,205,7,1,0,1,0,355,7,362
CARMEN,XII,252,C1,483,142,196,1,0,2,3,0,344,7,351
CARMEN,XII,253,B,617,142,237,16,5,1,1,1,403,29,432
CARMEN,XII,253,C1,618,189,223,14,10,0,1,1,438,14,452
CARMEN,XII,254,B,458,110,183,6,4,1,0,0,304,13,317
CARMEN,XII,255,B,443,129,178,5,0,2,0,1,315,4,319
CARMEN,XII,256,B,554,135,175,3,3,6,1,0,323,12,335
CARMEN,XII,256,C1,554,155,148,3,1,8,2,0,317,16,333
CARMEN,XII,256,C2,555,117,184,3,4,7,1,1,317,10,327
CARMEN,XII,257,B,592,191,163,0,1,6,0,0,361,14,375
CARMEN,XII,257,C1,592,164,143,2,9,7,2,0,327,8,335
CARMEN,XII,257,C2,593,165,163,1,2,13,3,0,347,14,361
CARMEN,XII,258,B,640,215,218,12,2,0,0,0,447,15,462
CARMEN,XII,258,C1,641,233,178,7,4,3,0,0,425,13,438
CARMEN,XII,259,B,639,166,215,9,4,2,2,0,398,12,410
CARMEN,XII,259,C1,640,176,202,8,3,2,2,1,394,7,401
CARMEN,XII,260,B,546,158,119,10,2,3,2,0,294,8,302
CARMEN,XII,261,B,507,111,185,10,0,3,0,0,309,9,318
CARMEN,XII,261,C1,507,111,202,17,1,1,1,0,333,8,341
CARMEN,XII,262,B,622,148,215,15,3,1,1,0,383,17,400
CARMEN,XII,262,C1,622,170,212,15,1,2,1,0,401,9,410
CARMEN,XI,263,B,411,168,110,1,3,1,11,0,294,9,303
CARMEN,XI,263,C1,411,141,131,0,3,1,2,0,278,11,289
CARMEN,XI,264,B,357,77,143,1,0,4,1,0,226,29,255
,,,,,,,,,,,,,,
CARMEN,XI,264,E1,141,69,28,0,0,0,0,0,97,3,100
CARMEN,XI,265,B,,,,,,,,,,,
CARMEN,XI,265,C1,578,153,199,1,3,3,1,0,360,8,368
CARMEN,XI,265,C2,579,164,224,2,0,1,3,0,394,4,398
CARMEN,XI,266,B,735,187,277,3,0,4,1,0,472,6,478
CARMEN,XI,266,C1,736,200,255,8,1,3,2,0,469,3,472
CARMEN,XI,267,B,647,297,113,11,1,6,5,0,433,7,440
CARMEN,XI,267,C1,648,257,144,3,2,8,9,0,423,10,433
CARMEN,XI,267,C2,648,254,135,4,4,5,8,0,410,25,435
CARMEN,XI,267,C3,648,260,142,5,3,3,6,0,419,7,426
CARMEN,XI,268,B,571,141,179,17,1,6,2,1,347,7,354
CARMEN,XI,268,C1,572,133,200,13,3,9,8,0,366,18,384
CARMEN,XI,268,C2,572,144,195,24,2,15,15,0,395,14,409
CARMEN,XI,269,B,463,158,173,2,1,1,2,0,337,7,344
CARMEN,XIV,270,B,192,71,32,3,0,5,12,0,123,9,132
CARMEN,XIV,271,B,614,138,160,8,0,1,0,0,307,8,315
CARMEN,XIV,272,B,101,30,34,0,1,0,0,0,65,2,67
CARMEN,XIV,284,B,230,84,30,3,0,0,1,0,118,5,123
CARMEN,XIII,472,B,451,108,116,13,2,1,14,0,254,25,279
CARMEN,XIII,472,C1,451,165,97,15,1,1,11,1,291,12,303
CARMEN,XIII,473,B,482,115,132,16,2,1,15,0,281,11,292
CARMEN,XIII,473,C1,483,150,100,5,0,0,11,0,266,17,283
CARMEN,XIII,474,B,176,85,29,7,0,1,0,2,124,3,127
CARMEN,XIII,478,B,501,140,141,37,0,3,16,0,337,14,351
CARMEN,XIII,478,C1,501,147,133,36,1,4,24,1,346,11,357
CARMEN,XIII,479,B,545,143,147,13,0,0,15,0,318,17,335
,,,,,,,,,,,,,,
CARMEN,XIII,483,B,324,98,42,15,0,4,31,0,190,5,195
CARMEN,XIII,484,B,538,177,116,11,4,1,14,0,323,7,330
CARMEN,XIII,484,C1,538,157,139,4,3,4,9,0,316,15,331
CARMEN,XIII,486,B,685,171,168,9,7,4,1,0,360,15,375
CARMEN,XIII,486,C1,686,167,173,5,1,3,0,1,350,16,366
CARMEN,XIII,487,B,715,201,235,4,0,2,5,0,447,5,452
CARMEN,XIII,488,B,413,99,144,3,0,0,0,0,246,3,249
,,,,,,,,,,,,,,
CHAMPOTÓN,XV,303,B,422,88,154,5,0,5,7,0,259,4,263
CHAMPOTÓN,XV,303,C1,422,121,143,2,1,3,25,0,295,6,301
CHAMPOTÓN,XV,304,B,409,118,137,1,2,13,1,0,272,11,283
CHAMPOTÓN,XV,304,C1,409,101,127,1,1,13,3,0,246,11,257
CHAMPOTÓN,XV,305,B,561,153,148,2,3,23,1,0,330,6,336
CHAMPOTÓN,XV,305,C1,561,135,161,3,4,26,0,1,330,12,342
CHAMPOTÓN,XV,306,B,666,163,232,4,6,20,2,2,429,8,437
CHAMPOTÓN,XV,306,C1,667,156,212,0,6,21,2,2,399,8,407
CHAMPOTÓN,XV,307,B,453,143,140,4,0,31,0,2,320,5,325
CHAMPOTÓN,XV,307,C1,454,113,159,0,1,24,1,0,298,7,305
CHAMPOTÓN,XV,308,B,465,99,186,0,6,7,3,0,301,11,312
CHAMPOTÓN,XV,308,S,250,47,45,0,2,1,1,0,96,2,98
CHAMPOTÓN,XV,309,B,735,149,298,1,6,15,4,1,474,15,489
CHAMPOTÓN,XV,310,B,421,117,168,0,1,13,2,3,304,8,312
CHAMPOTÓN,XV,310,C1,421,92,180,1,2,8,3,0,286,0,286
CHAMPOTÓN,XV,311,B,728,153,304,1,3,21,1,0,483,13,496
CHAMPOTÓN,XV,312,B,736,219,188,4,9,23,3,4,450,13,463
CHAMPOTÓN,XV,312,C1,737,222,206,2,3,31,3,0,467,10,477
CHAMPOTÓN,XV,313,B,577,169,164,1,5,18,5,0,362,5,367
CHAMPOTÓN,XV,313,C1,577,146,172,1,4,9,7,0,339,11,350
CHAMPOTÓN,XV,314,B,567,155,190,3,4,10,2,1,365,4,369
CHAMPOTÓN,XV,314,C1,567,150,179,2,10,10,1,1,353,0,353
CHAMPOTÓN,XV,315,B,597,156,223,1,7,6,2,1,396,8,404
CHAMPOTÓN,XV,315,C1,597,122,213,2,7,9,3,3,359,15,374
CHAMPOTÓN,XV,316,B,682,158,232,1,4,12,3,1,411,15,426
CHAMPOTÓN,XV,316,C1,682,137,241,3,1,14,5,0,401,14,415
,,,,,,,,,,,,,,
CHAMPOTÓN,XV,317,B,738,216,192,5,9,10,5,0,437,13,450
CHAMPOTÓN,XV,317,C1,739,212,197,2,8,9,6,1,435,13,448
CHAMPOTÓN,XV,318,B,665,183,201,7,1,13,2,0,407,14,421
CHAMPOTÓN,XV,318,C1,665,212,208,2,6,2,3,1,434,7,441
CHAMPOTÓN,XV,319,B,639,148,189,3,2,4,2,1,349,10,359
CHAMPOTÓN,XV,319,C1,640,169,175,5,8,2,1,1,361,7,368
CHAMPOTÓN,XV,319,C2,640,156,168,2,9,4,2,2,343,12,355
CHAMPOTÓN,XV,319,C3,640,172,180,0,6,5,3,1,367,6,373
CHAMPOTÓN,XV,319,C4,640,187,179,1,7,7,3,2,386,7,393
CHAMPOTÓN,XVI,320,B,671,237,278,1,3,3,0,1,523,10,533
CHAMPOTÓN,XVI,320,C1,671,208,266,0,1,2,1,1,479,10,489
CHAMPOTÓN,XVI,321,B,396,109,175,2,0,1,1,0,288,0,288
CHAMPOTÓN,XVI,321,C1,396,130,167,0,1,1,0,0,299,5,304
CHAMPOTÓN,XVI,322,B,473,119,193,2,1,3,1,0,319,5,324
CHAMPOTÓN,XVI,322,C1,473,140,174,2,0,0,0,0,316,14,330
CHAMPOTÓN,XVI,323,B,484,145,214,0,2,1,0,0,362,3,365
CHAMPOTÓN,XVI,323,C1,485,126,218,2,0,2,1,0,349,13,362
CHAMPOTÓN,XVI,324,B,542,145,217,0,1,4,3,0,370,12,382
CHAMPOTÓN,XVI,324,C1,543,169,231,1,1,0,1,1,404,10,414
CHAMPOTÓN,XVI,325,B,557,197,224,3,3,0,2,0,429,10,439
CHAMPOTÓN,XVI,325,C1,557,175,219,1,2,3,7,0,407,7,414
CHAMPOTÓN,XVI,326,B,625,226,234,2,1,3,2,0,468,8,476
CHAMPOTÓN,XVI,327,B,660,212,310,1,1,3,15,0,542,13,555
CHAMPOTÓN,XVI,327,C1,660,215,311,0,1,3,12,0,542,8,550
CHAMPOTÓN,XVI,328,B,561,168,237,1,2,10,5,0,423,5,428
CHAMPOTÓN,XVI,328,C1,562,189,237,3,0,7,4,0,440,6,446
,,,,,,,,,,,,,,
CHAMPOTÓN,XVI,329,B,750,227,271,7,0,1,21,0,527,13,540
CHAMPOTÓN,XVI,330,B,461,124,204,0,1,22,8,0,359,9,368
CHAMPOTÓN,XVI,330,C1,462,125,196,0,0,38,3,0,362,12,374
CHAMPOTÓN,XVI,331,B,696,236,111,0,8,3,4,0,362,14,376
CHAMPOTÓN,XVI,331,C1,696,218,132,3,13,1,4,0,371,9,380
CHAMPOTÓN,XVI,331,C2,697,206,115,3,4,5,4,0,337,14,351
CHAMPOTÓN,XVI,331,E1,520,142,228,3,0,32,9,0,414,14,428
CHAMPOTÓN,XVI,331,E1C1,521,144,229,4,0,19,3,0,399,8,407
CHAMPOTÓN,XVI,332,B,491,128,185,4,4,7,4,0,332,12,344
CHAMPOTÓN,XVI,333,B,525,133,209,3,10,4,5,5,369,21,390
CHAMPOTÓN,XVI,333,C1,525,142,206,2,5,2,0,2,359,21,380
CHAMPOTÓN,XVI,334,B,723,225,186,6,6,12,6,0,441,9,450
CHAMPOTÓN,XVI,334,E1,125,32,52,0,2,0,0,0,86,0,86
CHAMPOTÓN,XVI,334,E2,85,26,19,0,0,0,2,0,47,1,48
CHAMPOTÓN,XVI,335,B,738,185,160,5,6,15,12,0,383,7,390
CHAMPOTÓN,XVI,336,B,411,135,74,0,6,3,0,0,218,16,234
CHAMPOTÓN,XVI,336,C1,412,118,108,5,4,8,0,0,243,9,252
CHAMPOTÓN,XV,337,B,376,119,95,1,2,12,0,0,229,9,238
CHAMPOTÓN,XV,337,C1,376,118,106,0,2,14,2,0,242,5,247
CHAMPOTÓN,XV,338,B,215,61,86,0,0,5,0,0,152,4,156
CHAMPOTÓN,XVI,339,B,470,174,89,2,1,2,1,0,269,4,273
CHAMPOTÓN,XVI,339,C1,471,179,81,1,1,4,1,0,267,10,277
CHAMPOTÓN,XVI,340,B,633,199,120,3,4,1,0,0,327,12,339
CHAMPOTÓN,XVI,340,C1,633,220,122,2,3,8,0,0,355,6,361
CHAMPOTÓN,XVI,340,C2,634,178,120,0,9,8,3,1,319,12,331
CHAMPOTÓN,XVI,340,C3,634,203,120,0,6,3,4,0,336,12,348
,,,,,,,,,,,,,,
CHAMPOTÓN,XV,341,B,503,149,158,0,0,1,2,0,310,22,332
CHAMPOTÓN,XV,341,C1,504,184,159,2,1,4,6,1,357,6,363
CHAMPOTÓN,XV,342,B,634,247,174,6,1,10,0,0,438,0,438
CHAMPOTÓN,XV,342,C1,635,197,210,3,4,5,0,0,419,8,427
CHAMPOTÓN,XV,343,B,420,143,153,10,0,3,1,0,310,11,321
CHAMPOTÓN,XV,343,C1,420,139,148,8,2,1,0,0,298,0,298
CHAMPOTÓN,XV,344,B,643,165,225,4,0,4,3,2,403,9,412
CHAMPOTÓN,XV,345,B,405,132,93,3,3,2,4,0,237,5,242
CHAMPOTÓN,XV,345,C1,406,119,94,6,3,0,3,0,225,7,232
CHAMPOTÓN,XV,346,B,513,137,149,4,5,2,3,0,300,0,300
CHAMPOTÓN,XV,346,C1,514,127,130,7,4,2,3,0,273,3,276
CHAMPOTÓN,XVI,347,B,647,158,264,1,5,1,0,0,429,0,429
CHAMPOTÓN,XVI,347,E1,593,178,155,2,3,2,0,1,341,0,341
CHAMPOTÓN,XV,348,B,639,229,145,11,3,5,0,5,398,16,414
CHAMPOTÓN,XV,349,B,480,179,125,0,7,2,1,6,320,8,328
CHAMPOTÓN,XV,349,C1,480,194,106,4,5,4,0,4,317,11,328
CHAMPOTÓN,XV,350,B,572,208,217,0,1,1,0,5,432,9,441
CHAMPOTÓN,XV,350,C1,573,222,145,2,4,2,0,0,375,8,383
CHAMPOTÓN,XV,351,B,357,141,153,1,3,1,1,0,300,4,304
CHAMPOTÓN,XV,352,B,486,177,139,1,0,2,0,11,330,7,337
CHAMPOTÓN,XV,353,B,287,115,102,0,1,1,0,0,219,5,224
CHAMPOTÓN,XV,354,B,588,302,99,3,11,2,12,1,430,17,447
CHAMPOTÓN,XV,355,B,228,92,101,1,0,2,2,0,198,3,201
,,,,,,,,,,,,,,
HECELCHAKÁN,XIX,363,B,570,129,241,10,5,20,17,0,422,13,435
HECELCHAKÁN,XIX,363,C1,571,122,223,21,3,3,43,0,415,18,433
HECELCHAKÁN,XIX,363,C2,571,144,217,17,3,13,28,0,422,12,434
HECELCHAKÁN,XIX,364,B,559,142,197,10,1,20,20,0,390,15,405
HECELCHAKÁN,XIX,364,C1,559,134,221,9,1,15,20,0,400,20,420
HECELCHAKÁN,XIX,364,C2,559,140,231,7,0,8,30,0,416,12,428
HECELCHAKÁN,XIX,365,B,427,89,170,11,2,27,37,0,336,7,343
HECELCHAKÁN,XIX,365,C1,428,103,181,9,2,6,20,0,321,12,333
HECELCHAKÁN,XIX,366,B,519,127,198,7,2,18,31,0,383,14,397
HECELCHAKÁN,XIX,366,C1,520,126,218,13,0,20,22,0,399,10,409
