ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
16,MICHOACAN,103,URUAPAN,142,402,16032,9712,44626,4900,2894,1444,1081,30423,2188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7187,,,,,,,120487,295,6003,126785,239846,http://iem.org.mx/actas_mpio/A4_URUAPAN.pdf
16,MICHOACAN,104,VENUSTIANO CARRANZA,22,37,312,666,3578,114,47,4696,33,1236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10682,2,835,11519,18448,http://iem.org.mx/actas_mpio/A4_VENUSTIANO CARRANZA.pdf
16,MICHOACAN,105,VILLAMAR,18,34,3122,382,1150,154,,230,69,1564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6671,3,390,7064,15736,http://iem.org.mx/actas_mpio/A4_VILLAMAR.pdf
16,MICHOACAN,106,VISTA HERMOSA,13,26,484,5553,176,100,640,65,159,1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8696,3,308,9007,14798,http://iem.org.mx/actas_mpio/A4_VISTA HERMOSA.pdf
16,MICHOACAN,107,YURÉCUARO,19,38,454,950,887,123,985,934,3845,2822,975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781,,,,,,12756,34,489,13279,21968,http://iem.org.mx/actas_mpio/A4_YURÉCUARO.pdf
16,MICHOACAN,108,ZACAPU,47,101,1742,1377,2694,1223,11356,4458,320,6965,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,31501,224,1747,33472,58064,http://iem.org.mx/actas_mpio/A4_ZACAPU.pdf
16,MICHOACAN,109,ZAMORA,96,250,8834,13161,1889,9403,5110,6854,,16739,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6774,,,,69788,234,3294,73316,144445,http://iem.org.mx/actas_mpio/A4_ZAMORA.pdf
16,MICHOACAN,110,ZINÁPARO,7,7,75,869,1006,15,,28,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,0,102,2127,3597,http://iem.org.mx/actas_mpio/A4_ZINÁPARO.pdf
16,MICHOACAN,111,ZINAPÉCUARO,32,70,1085,3520,5267,290,174,605,687,2538,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5179,370,,19839,4,1443,21286,38035,http://iem.org.mx/actas_mpio/A4_ZINAPÉCUARO.pdf
16,MICHOACAN,112,ZIRACUARETIRO,8,21,361,2709,1824,105,,145,49,1397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1038,7628,2,337,7967,12333,http://iem.org.mx/actas_mpio/A4_ZIRACUARETIRO.pdf
16,MICHOACAN,113,ZITÁCUARO,82,195,5334,8824,18820,4585,2529,1371,860,20775,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64080,26,4618,68724,114030,http://iem.org.mx/actas_mpio/A4_ZITÁCUARO.pdf
